season,semester,MMWR_YR,MMWR_WK,percentile,percentile_value_cases,percentile_value_inc
2025/26,Fall,2025,35,0.01,0.0,3.683946830278728e-05
2025/26,Fall,2025,35,0.025,0.0,7.227731621242129e-05
2025/26,Fall,2025,35,0.05,0.0,0.0001336549219558947
2025/26,Fall,2025,35,0.1,0.0,0.0002175657995394431
2025/26,Fall,2025,35,0.15,0.0,0.0003055601875530556
2025/26,Fall,2025,35,0.2,0.0,0.0003877208800986409
2025/26,Fall,2025,35,0.25,0.0,0.0004885089801973663
2025/26,Fall,2025,35,0.3,0.0,0.0006051731354091316
2025/26,Fall,2025,35,0.35,0.0,0.0006800905219279229
2025/26,Fall,2025,35,0.4,0.0,0.0007571050780825318
2025/26,Fall,2025,35,0.45,0.0,0.000836692046141252
2025/26,Fall,2025,35,0.5,0.0,0.0009422137809451669
2025/26,Fall,2025,35,0.55,0.0,0.001070517156040296
2025/26,Fall,2025,35,0.6,0.0,0.0012090685544535519
2025/26,Fall,2025,35,0.65,0.0,0.0013491225719917566
2025/26,Fall,2025,35,0.7,0.0,0.0014977479469962419
2025/26,Fall,2025,35,0.75,0.0,0.001697349187452346
2025/26,Fall,2025,35,0.8,1.0,0.0018983129644766451
2025/26,Fall,2025,35,0.85,1.0,0.00219538400415331
2025/26,Fall,2025,35,0.9,1.0,0.002601738041266799
2025/26,Fall,2025,35,0.95,2.0,0.0033771585905924438
2025/26,Fall,2025,35,0.975,2.0,0.004285202862229195
2025/26,Fall,2025,35,0.99,3.0,0.0053265193244442345
2025/26,Fall,2025,36,0.01,0.0,0.00021604482069960794
2025/26,Fall,2025,36,0.025,0.0,0.0003482899635855574
2025/26,Fall,2025,36,0.05,0.0,0.0005172802484594285
2025/26,Fall,2025,36,0.1,0.0,0.0007223748252727091
2025/26,Fall,2025,36,0.15,0.0,0.0009012699010781944
2025/26,Fall,2025,36,0.2,0.0,0.0010526698315516114
2025/26,Fall,2025,36,0.25,0.0,0.0012035634717904031
2025/26,Fall,2025,36,0.3,0.0,0.0013652697671204805
2025/26,Fall,2025,36,0.35,0.0,0.0014919857785571367
2025/26,Fall,2025,36,0.4,0.0,0.0016874117543920874
2025/26,Fall,2025,36,0.45,0.0,0.0018589561164844782
2025/26,Fall,2025,36,0.5,0.0,0.0019998817006126046
2025/26,Fall,2025,36,0.55,0.0,0.0021845586597919464
2025/26,Fall,2025,36,0.6,0.0,0.002316723251715302
2025/26,Fall,2025,36,0.65,1.0,0.002513700211420655
2025/26,Fall,2025,36,0.7,1.0,0.0027276244247332214
2025/26,Fall,2025,36,0.75,1.0,0.002989256870932877
2025/26,Fall,2025,36,0.8,1.0,0.0033243814017623664
2025/26,Fall,2025,36,0.85,1.0,0.0037046394078060984
2025/26,Fall,2025,36,0.9,2.0,0.004210283514112235
2025/26,Fall,2025,36,0.95,2.0,0.005178375169634819
2025/26,Fall,2025,36,0.975,3.0,0.0061347115435637515
2025/26,Fall,2025,36,0.99,3.0,0.007029862469062209
2025/26,Fall,2025,37,0.01,0.0,0.0009884189709555358
2025/26,Fall,2025,37,0.025,0.0,0.001251426644739695
2025/26,Fall,2025,37,0.05,0.0,0.0015028620488010346
2025/26,Fall,2025,37,0.1,0.0,0.0019294816185720265
2025/26,Fall,2025,37,0.15,0.0,0.0022357658483088015
2025/26,Fall,2025,37,0.2,0.0,0.002516604634001851
2025/26,Fall,2025,37,0.25,0.0,0.002755779540166259
2025/26,Fall,2025,37,0.3,0.0,0.0029690598836168646
2025/26,Fall,2025,37,0.35,0.0,0.0031955039128661153
2025/26,Fall,2025,37,0.4,1.0,0.003413784643635154
2025/26,Fall,2025,37,0.45,1.0,0.0036473741522058847
2025/26,Fall,2025,37,0.5,1.0,0.0038712976966053247
2025/26,Fall,2025,37,0.55,1.0,0.004162368620745838
2025/26,Fall,2025,37,0.6,1.0,0.0044324700720608234
2025/26,Fall,2025,37,0.65,1.0,0.004698105482384562
2025/26,Fall,2025,37,0.7,2.0,0.004951113741844893
2025/26,Fall,2025,37,0.75,2.0,0.005264377337880433
2025/26,Fall,2025,37,0.8,2.0,0.005670059658586979
2025/26,Fall,2025,37,0.85,2.0,0.006194316386245191
2025/26,Fall,2025,37,0.9,3.0,0.00682433149777353
2025/26,Fall,2025,37,0.95,4.0,0.007822318375110625
2025/26,Fall,2025,37,0.975,4.0,0.008615112188272173
2025/26,Fall,2025,37,0.99,5.0,0.010347133185714483
2025/26,Fall,2025,38,0.01,0.0,0.0023283675103448333
2025/26,Fall,2025,38,0.025,0.0,0.0027896084473468365
2025/26,Fall,2025,38,0.05,0.0,0.003359906526748091
2025/26,Fall,2025,38,0.1,0.0,0.004020405746996403
2025/26,Fall,2025,38,0.15,0.0,0.004657993768341839
2025/26,Fall,2025,38,0.2,1.0,0.005209538713097573
2025/26,Fall,2025,38,0.25,1.0,0.005751855671405792
2025/26,Fall,2025,38,0.3,1.0,0.006136796018108725
2025/26,Fall,2025,38,0.35,1.0,0.006527304090559483
2025/26,Fall,2025,38,0.4,2.0,0.006906996387988329
2025/26,Fall,2025,38,0.45,2.0,0.007343300571665168
2025/26,Fall,2025,38,0.5,2.0,0.007726845098659396
2025/26,Fall,2025,38,0.55,2.0,0.008108132611960172
2025/26,Fall,2025,38,0.6,3.0,0.008561236038804054
2025/26,Fall,2025,38,0.65,3.0,0.009056929685175418
2025/26,Fall,2025,38,0.7,3.0,0.009577085077762603
2025/26,Fall,2025,38,0.75,3.0,0.010225312551483512
2025/26,Fall,2025,38,0.8,4.0,0.010909907147288322
2025/26,Fall,2025,38,0.85,4.0,0.011688679689541454
2025/26,Fall,2025,38,0.9,5.0,0.013259640429168941
2025/26,Fall,2025,38,0.95,6.0,0.015184516087174416
2025/26,Fall,2025,38,0.975,7.0,0.017180040851235368
2025/26,Fall,2025,38,0.99,8.0,0.02044490085914731
2025/26,Fall,2025,39,0.01,0.0,0.003626190102659166
2025/26,Fall,2025,39,0.025,0.0,0.004694311716593802
2025/26,Fall,2025,39,0.05,1.0,0.0054876984562724825
2025/26,Fall,2025,39,0.1,1.0,0.006825354415923357
2025/26,Fall,2025,39,0.15,1.0,0.007695874106138945
2025/26,Fall,2025,39,0.2,2.0,0.008489581383764743
2025/26,Fall,2025,39,0.25,2.0,0.009335965383797884
2025/26,Fall,2025,39,0.3,3.0,0.010137022100389003
2025/26,Fall,2025,39,0.35,3.0,0.011041172174736857
2025/26,Fall,2025,39,0.4,3.0,0.011830101162195206
2025/26,Fall,2025,39,0.45,4.0,0.012557435501366855
2025/26,Fall,2025,39,0.5,4.0,0.013561883941292763
2025/26,Fall,2025,39,0.55,4.0,0.014614217495545746
2025/26,Fall,2025,39,0.6,5.0,0.01564938873052597
2025/26,Fall,2025,39,0.65,5.0,0.016905301716178656
2025/26,Fall,2025,39,0.7,6.0,0.018331436999142168
2025/26,Fall,2025,39,0.75,6.25,0.020049638580530882
2025/26,Fall,2025,39,0.8,7.0,0.022161677479743958
2025/26,Fall,2025,39,0.85,8.0,0.0250607349909842
2025/26,Fall,2025,39,0.9,10.0,0.029920519515872015
2025/26,Fall,2025,39,0.95,13.049999999999955,0.03911656122654676
2025/26,Fall,2025,39,0.975,17.0,0.048791481461375866
2025/26,Fall,2025,39,0.99,22.0,0.06583763048052783
2025/26,Fall,2025,40,0.01,0.0,0.005339100235141813
2025/26,Fall,2025,40,0.025,0.0,0.0069706197711639105
2025/26,Fall,2025,40,0.05,1.0,0.008013163786381483
2025/26,Fall,2025,40,0.1,2.0,0.010100805573165417
2025/26,Fall,2025,40,0.15,2.0,0.011657510697841645
2025/26,Fall,2025,40,0.2,3.0,0.012971378676593304
2025/26,Fall,2025,40,0.25,3.0,0.014256366528570652
2025/26,Fall,2025,40,0.3,4.0,0.01585034467279911
2025/26,Fall,2025,40,0.35,4.0,0.017264210525900124
2025/26,Fall,2025,40,0.4,5.0,0.01898437850177288
2025/26,Fall,2025,40,0.45,5.0,0.0207926843315363
2025/26,Fall,2025,40,0.5,6.0,0.022815614007413387
2025/26,Fall,2025,40,0.55,6.0,0.025245042424649002
2025/26,Fall,2025,40,0.6,7.0,0.02801467813551426
2025/26,Fall,2025,40,0.65,8.0,0.030525155551731586
2025/26,Fall,2025,40,0.7,9.0,0.03413899317383766
2025/26,Fall,2025,40,0.75,10.0,0.038330757059156895
2025/26,Fall,2025,40,0.8,12.0,0.04367455616593361
2025/26,Fall,2025,40,0.85,14.0,0.05203255321830508
2025/26,Fall,2025,40,0.9,19.0,0.06528373882174496
2025/26,Fall,2025,40,0.95,26.0,0.09908967055380344
2025/26,Fall,2025,40,0.975,35.0,0.13413190320134158
2025/26,Fall,2025,40,0.99,57.0,0.20780185416340827
2025/26,Fall,2025,41,0.01,0.0,0.007733470033854246
2025/26,Fall,2025,41,0.025,1.0,0.009518306422978639
2025/26,Fall,2025,41,0.05,2.0,0.011371530964970589
2025/26,Fall,2025,41,0.1,2.0,0.014058814942836761
2025/26,Fall,2025,41,0.15,3.0,0.016135584749281406
2025/26,Fall,2025,41,0.2,4.0,0.018337344378232957
2025/26,Fall,2025,41,0.25,5.0,0.020348578691482544
2025/26,Fall,2025,41,0.3,5.0,0.022460567951202392
2025/26,Fall,2025,41,0.35,6.0,0.025281323119997975
2025/26,Fall,2025,41,0.4,7.0,0.02835621535778046
2025/26,Fall,2025,41,0.45,8.0,0.031173328030854465
2025/26,Fall,2025,41,0.5,9.0,0.03517060913145542
2025/26,Fall,2025,41,0.55,10.0,0.03942906316369772
2025/26,Fall,2025,41,0.6,11.0,0.043573272228240964
2025/26,Fall,2025,41,0.65,12.0,0.04919943623244762
2025/26,Fall,2025,41,0.7,14.0,0.0557842094451189
2025/26,Fall,2025,41,0.75,17.0,0.06325861252844334
2025/26,Fall,2025,41,0.8,19.0,0.0746966153383255
2025/26,Fall,2025,41,0.85,23.0,0.09353366196155545
2025/26,Fall,2025,41,0.9,30.100000000000136,0.12016078457236293
2025/26,Fall,2025,41,0.95,46.0,0.19100380018353458
2025/26,Fall,2025,41,0.975,64.0,0.2518314197659489
2025/26,Fall,2025,41,0.99,83.02999999999997,0.33302615076303477
2025/26,Fall,2025,42,0.01,1.0,0.010529220532625914
2025/26,Fall,2025,42,0.025,2.0,0.012454678444191814
2025/26,Fall,2025,42,0.05,2.0,0.014872225001454353
2025/26,Fall,2025,42,0.1,4.0,0.017833882197737693
2025/26,Fall,2025,42,0.15,5.0,0.021096732933074236
2025/26,Fall,2025,42,0.2,5.0,0.02479412332177162
2025/26,Fall,2025,42,0.25,6.0,0.028184184338897467
2025/26,Fall,2025,42,0.3,7.0,0.03137602023780346
2025/26,Fall,2025,42,0.35,8.0,0.03621495757251978
2025/26,Fall,2025,42,0.4,10.0,0.04044913649559021
2025/26,Fall,2025,42,0.45,11.0,0.0451230026781559
2025/26,Fall,2025,42,0.5,12.0,0.050927840173244476
2025/26,Fall,2025,42,0.55,14.0,0.057454447261989124
2025/26,Fall,2025,42,0.6,15.0,0.06448730528354644
2025/26,Fall,2025,42,0.65,17.0,0.07161975614726543
2025/26,Fall,2025,42,0.7,20.0,0.08147705346345901
2025/26,Fall,2025,42,0.75,23.0,0.09199169091880322
2025/26,Fall,2025,42,0.8,27.0,0.1099263459444046
2025/26,Fall,2025,42,0.85,32.0,0.13328545168042183
2025/26,Fall,2025,42,0.9,41.0,0.1684639438986779
2025/26,Fall,2025,42,0.95,57.0,0.22887704074382773
2025/26,Fall,2025,42,0.975,65.52499999999986,0.2628482505679129
2025/26,Fall,2025,42,0.99,77.00999999999999,0.2959100463986396
2025/26,Fall,2025,43,0.01,2.0,0.013969195242971182
2025/26,Fall,2025,43,0.025,3.0,0.016725332755595446
2025/26,Fall,2025,43,0.05,4.0,0.019091371353715657
2025/26,Fall,2025,43,0.1,5.0,0.023119494318962097
2025/26,Fall,2025,43,0.15,7.0,0.027825937047600745
2025/26,Fall,2025,43,0.2,8.0,0.03138449639081955
2025/26,Fall,2025,43,0.25,9.0,0.03662539180368185
2025/26,Fall,2025,43,0.3,11.0,0.041712260246276854
2025/26,Fall,2025,43,0.35,12.0,0.0457538578659296
2025/26,Fall,2025,43,0.4,14.0,0.052092152088880544
2025/26,Fall,2025,43,0.45,15.0,0.05821935180574657
2025/26,Fall,2025,43,0.5,17.0,0.06537847220897675
2025/26,Fall,2025,43,0.55,19.0,0.07394670844078065
2025/26,Fall,2025,43,0.6,21.0,0.08238687664270401
2025/26,Fall,2025,43,0.65,23.350000000000023,0.09004408083856105
2025/26,Fall,2025,43,0.7,27.0,0.10083765089511869
2025/26,Fall,2025,43,0.75,30.0,0.11399669386446476
2025/26,Fall,2025,43,0.8,34.0,0.12682327628135684
2025/26,Fall,2025,43,0.85,38.149999999999864,0.1455744326114654
2025/26,Fall,2025,43,0.9,44.0,0.16880570948123932
2025/26,Fall,2025,43,0.95,54.0,0.20451904758810996
2025/26,Fall,2025,43,0.975,65.0,0.22979951947927463
2025/26,Fall,2025,43,0.99,76.00999999999999,0.2561135098338127
2025/26,Fall,2025,44,0.01,2.0,0.015513929314911365
2025/26,Fall,2025,44,0.025,3.0,0.01946554696187377
2025/26,Fall,2025,44,0.05,5.0,0.0228349014185369
2025/26,Fall,2025,44,0.1,6.0,0.027536444179713727
2025/26,Fall,2025,44,0.15,8.0,0.03255655504763126
2025/26,Fall,2025,44,0.2,9.0,0.0388305738568306
2025/26,Fall,2025,44,0.25,11.0,0.043480170890688896
2025/26,Fall,2025,44,0.3,12.0,0.04959679991006851
2025/26,Fall,2025,44,0.35,13.0,0.05569418165832758
2025/26,Fall,2025,44,0.4,15.0,0.06158882603049278
2025/26,Fall,2025,44,0.45,17.0,0.0690494939684868
2025/26,Fall,2025,44,0.5,19.0,0.07589030265808105
2025/26,Fall,2025,44,0.55,21.0,0.08417650684714317
2025/26,Fall,2025,44,0.6,23.0,0.09063788801431655
2025/26,Fall,2025,44,0.65,25.0,0.09834375195205211
2025/26,Fall,2025,44,0.7,27.0,0.10423854291439057
2025/26,Fall,2025,44,0.75,29.0,0.1135031096637249
2025/26,Fall,2025,44,0.8,32.0,0.12303454577922822
2025/26,Fall,2025,44,0.85,36.0,0.13413157612085339
2025/26,Fall,2025,44,0.9,39.100000000000136,0.14802773296833038
2025/26,Fall,2025,44,0.95,47.0,0.16908926367759702
2025/26,Fall,2025,44,0.975,54.0,0.18901097066700423
2025/26,Fall,2025,44,0.99,60.00999999999999,0.2110080863535404
2025/26,Fall,2025,45,0.01,2.0,0.011867933785542845
2025/26,Fall,2025,45,0.025,4.0,0.021118852589279414
2025/26,Fall,2025,45,0.05,5.0,0.024226882588118316
2025/26,Fall,2025,45,0.1,8.0,0.03187415674328804
2025/26,Fall,2025,45,0.15,10.0,0.037670479714870454
2025/26,Fall,2025,45,0.2,11.0,0.04307460635900497
2025/26,Fall,2025,45,0.25,13.0,0.049351717345416546
2025/26,Fall,2025,45,0.3,14.0,0.05506889037787914
2025/26,Fall,2025,45,0.35,15.0,0.06032686289399861
2025/26,Fall,2025,45,0.4,17.0,0.06635042130947114
2025/26,Fall,2025,45,0.45,18.0,0.07098004780709745
2025/26,Fall,2025,45,0.5,20.0,0.07734903320670128
2025/26,Fall,2025,45,0.55,21.0,0.08273811936378479
2025/26,Fall,2025,45,0.6,23.0,0.08759333044290542
2025/26,Fall,2025,45,0.65,24.0,0.09237604029476643
2025/26,Fall,2025,45,0.7,26.0,0.09750902280211449
2025/26,Fall,2025,45,0.75,28.0,0.10272659175097942
2025/26,Fall,2025,45,0.8,30.0,0.10906888842582703
2025/26,Fall,2025,45,0.85,32.0,0.1167621612548828
2025/26,Fall,2025,45,0.9,36.0,0.12827874422073365
2025/26,Fall,2025,45,0.95,42.0,0.14983750134706494
2025/26,Fall,2025,45,0.975,47.0,0.17083995826542367
2025/26,Fall,2025,45,0.99,54.00999999999999,0.18764061138033866
2025/26,Fall,2025,46,0.01,1.0,0.0048963156761601566
2025/26,Fall,2025,46,0.025,3.0,0.017861709650605916
2025/26,Fall,2025,46,0.05,6.0,0.025450694561004638
2025/26,Fall,2025,46,0.1,8.0,0.03331541270017624
2025/26,Fall,2025,46,0.15,10.0,0.04048926029354334
2025/26,Fall,2025,46,0.2,12.0,0.04580164700746536
2025/26,Fall,2025,46,0.25,13.0,0.052450320683419704
2025/26,Fall,2025,46,0.3,15.0,0.05789024084806442
2025/26,Fall,2025,46,0.35,16.0,0.06162070650607347
2025/26,Fall,2025,46,0.4,17.0,0.06627641916275025
2025/26,Fall,2025,46,0.45,18.0,0.07100638337433338
2025/26,Fall,2025,46,0.5,19.0,0.07529158890247345
2025/26,Fall,2025,46,0.55,21.0,0.07913309633731842
2025/26,Fall,2025,46,0.6,22.0,0.08230350315570831
